Year,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2021-22,34.4,37,31.5,29.3,38.2,32.7,38.1,35.6,34.6,39,38.7,35.4,34.2,34.5,33.1,35.6,37.6,40.8,31.4,36.9,37.4,36.9,32,31.3,36.8,33.2,32,34.1,39.6,30.6
2020-21,33.5,36.5,36,34,37.1,29.7,37.8,34.7,32.9,38.6,40.6,34.1,35,31.3,31.3,36.2,36.6,37.6,30.4,30.1,35.1,31.8,29.9,33.4,40.7,33.3,28.3,39.3,43.1,28.6
2019-20,36.1,34.9,38.6,35.1,34.3,31.8,41,31,32.7,31.3,45.5,28.2,33.4,32.2,31.4,35.4,38.7,39.7,36.9,28.4,30.7,32.7,31.5,31.8,34,34.9,28.5,37.4,35.4,32.6
2018-19,37,34.4,36,25.9,33.9,29.1,36.6,30.8,34.7,34.1,45.1,25.6,26.2,31,28.9,32.4,38.2,28.7,29.9,29.5,32.6,32.3,29.9,29.3,31.1,29.9,24.8,33.9,34.1,33.3
2017-18,31,30.4,35.7,27.2,31.1,31.8,32.8,30.9,28.9,29.4,41.9,24.7,26.8,29.1,26.2,30.4,24.8,22.5,28.1,23.3,30.3,29.3,29.8,27.9,28.3,24,24.3,32.3,29.6,26.2
2016-17,26.1,33.6,31.6,22.4,28.6,33.9,30.2,28.8,23.4,31.5,40.1,23.3,27.1,25.7,26.3,27,23.6,21,26.8,24.7,25.9,26.1,29.8,22.6,28,23.9,23.7,24.3,25.9,25
2015-16,28.8,26.5,18.4,21.4,28.5,29.7,28.1,26.7,26.1,31.8,30.7,22.9,26.1,24.6,18.4,18.2,15.6,16.4,23.8,21.5,23.9,22.2,27.5,25.8,28.8,22.4,18.6,23.3,23.9,24.2
